,rankings_blue_top,rankings_blue_jungle,rankings_blue_mid,rankings_blue_adc,rankings_blue_support,rankings_red_top,rankings_red_jungle,rankings_red_mid,rankings_red_adc,rankings_red_support,champ_winrate_blue_top,champ_winrate_blue_jungle,champ_winrate_blue_mid,champ_winrate_blue_adc,champ_winrate_blue_support,champ_winrate_red_top,champ_winrate_red_jungle,champ_winrate_red_mid,champ_winrate_red_adc,champ_winrate_red_support,champ_total_games_blue_top,champ_total_games_blue_jungle,champ_total_games_blue_mid,champ_total_games_blue_adc,champ_total_games_blue_support,champ_total_games_red_top,champ_total_games_red_jungle,champ_total_games_red_mid,champ_total_games_red_adc,champ_total_games_red_support,result
119,480,440,540,520,0,540,440,540,480,460,0.67,0.5,1.0,0.53,1.0,0.6,0.64,0.64,0.67,0.0,3,10,1,47,1,47,14,11,12,3,1
120,540,440,480,420,540,540,480,540,520,520,0.46,0.64,0.38,0.33,0.2,0.58,0.56,0.65,0.67,0.6,11,14,21,6,15,104,16,17,3,10,0
121,540,440,520,480,540,520,520,520,480,520,0.6,0.64,0.55,0.6,0.64,0.43,0.5,0.43,0.0,0.5,47,14,29,55,233,14,8,37,1,311,0
122,540,440,520,480,540,480,520,520,520,520,0.46,0.64,0.58,0.5,0.6,0.5,0.0,0.58,0.32,0.59,11,14,24,38,105,22,1,24,19,126,0
123,540,420,460,420,460,540,440,440,460,440,0.67,0.44,0.4,0.0,0.0,0.46,0.64,0.57,0.68,1.0,3,16,88,1,1,11,14,63,25,2,0
124,520,520,480,520,520,460,520,560,520,480,0.53,0.48,0.0,0.71,0.58,0.67,0.67,0.49,0.57,0.57,187,93,1,28,26,3,58,348,54,30,0
125,540,520,520,520,540,540,520,520,520,520,0.65,0.86,0.67,0.5,0.62,0.58,0.5,0.2,0.0,0.4,23,14,3,10,52,87,2,10,2,5,0
126,540,520,520,520,520,520,0,520,460,520,0.42,0.86,0.5,0.4,1.0,0.5,0.6,0.56,0.58,0.53,12,14,2,5,2,4,5,183,33,38,0
127,520,520,460,560,520,520,520,520,520,560,0.55,0.62,0.48,0.71,0.68,0.2,0.86,0.47,0.4,0.56,104,98,40,21,41,15,14,38,5,18,0
128,520,520,480,520,520,540,520,520,520,520,0.0,0.33,0.43,0.5,0.6,0.46,0.33,0.56,0.67,0.75,2,12,7,60,48,35,9,16,30,12,0
129,520,520,520,520,480,520,520,0,480,480,0.5,0.47,0.64,0.25,0.67,0.6,0.5,0.0,0.54,0.0,2,163,11,4,12,47,8,2,127,2,1
130,480,520,520,480,480,520,520,520,520,520,0.0,0.4,0.6,0.67,0.6,0.6,0.54,0.58,0.4,0.69,2,20,53,12,5,47,28,12,5,13,0
131,520,520,460,520,520,520,480,520,520,520,0.33,0.48,0.25,0.56,0.51,0.6,0.54,0.51,0.5,0.63,3,98,4,34,243,47,101,129,12,8,0
132,540,520,520,460,480,520,520,540,460,520,0.45,1.0,0.9,0.53,1.0,0.5,0.62,0.46,0.57,0.3,49,1,10,120,1,18,34,11,105,20,0
133,520,520,520,540,460,520,520,480,520,520,0.53,0.86,0.55,0.43,0.0,0.67,0.67,0.68,0.57,0.46,17,14,106,7,1,6,46,44,37,131,0
134,460,480,480,540,520,520,520,520,540,460,0.43,0.41,0.0,0.38,0.57,0.49,0.86,0.55,0.75,1.0,7,17,3,8,63,33,14,33,4,1,0
135,540,520,480,480,480,520,520,520,520,540,0.64,0.75,0.53,0.75,0.51,0.4,0.57,0.75,0.56,0.5,44,8,256,12,109,5,7,16,41,74,1
136,540,520,480,520,520,520,520,520,520,520,0.64,0.56,0.67,0.55,0.51,0.3,0.67,0.55,0.72,0.33,44,120,36,53,37,10,9,312,18,9,1
137,540,520,520,480,540,520,540,520,540,540,0.83,0.57,0.51,0.7,0.5,0.56,0.5,0.64,0.54,0.55,6,7,41,20,34,48,18,11,80,190,0
138,460,440,460,460,440,460,460,460,460,460,0.63,0.0,0.55,0.65,0.65,0.5,0.46,0.44,0.44,0.6,339,1,33,20,17,18,89,9,9,5,0
139,460,460,440,460,460,460,460,440,440,520,0.75,0.55,0.65,0.5,0.5,0.55,0.55,0.88,0.67,0.6,8,67,86,2,2,40,338,49,6,15,0
140,440,460,460,460,460,460,380,480,460,460,0.67,0.55,0.55,0.58,0.53,0.64,0.67,0.33,0.5,0.5,21,338,67,19,238,11,9,6,8,24,0
141,460,460,460,460,440,460,460,440,460,460,0.51,0.46,0.55,0.51,0.54,0.5,0.64,0.43,0.49,0.57,95,89,417,180,35,2,11,7,35,42,0
142,420,460,460,440,460,460,440,460,460,440,0.36,0.55,0.33,0.43,0.64,0.31,0.55,0.75,0.5,0.33,14,338,3,44,78,16,176,4,2,6,0
143,440,440,460,420,440,440,460,440,460,440,0.53,0.17,0.46,0.5,0.32,0.33,0.55,0.75,0.49,0.56,17,12,22,4,19,3,338,8,174,228,0
144,580,640,580,580,580,620,580,620,640,580,0.14,0.56,0.56,0.51,0.52,0.5,0.5,0.53,0.56,0.53,7,18,406,74,31,2,4,178,16,45,0
145,620,580,640,640,560,620,620,580,560,580,0.5,0.67,0.5,0.55,0.5,0.56,0.39,0.59,0.33,0.47,108,3,8,55,34,84,13,61,3,17,0
146,580,580,580,560,580,560,620,620,580,580,0.54,0.5,0.61,0.6,1.0,0.5,0.0,0.56,0.58,0.43,220,4,31,15,4,8,4,25,40,7,0
147,620,580,560,620,560,620,620,580,580,620,0.0,0.6,0.55,0.39,0.69,0.47,0.59,0.51,0.52,0.56,3,286,40,70,16,15,82,69,21,59,0
148,580,580,580,580,580,580,620,620,580,580,0.58,0.64,0.54,0.54,0.36,1.0,0.67,0.67,0.47,0.61,191,215,28,37,14,1,6,3,105,54,0
149,580,580,620,620,620,620,620,640,580,620,0.73,0.59,0.75,0.67,0.5,0.46,0.53,0.65,0.54,0.55,56,66,4,127,30,11,856,26,37,311,1
